iter	Passed	Remaining
0	2	247
1	4	200
2	5	172
3	6	156
4	7	147
5	8	139
6	10	133
7	11	129
8	12	124
9	13	121
10	14	118
11	15	115
12	16	113
13	18	111
14	19	109
15	20	106
16	21	105
17	22	103
18	23	101
19	24	99
20	26	98
21	27	97
22	28	95
23	29	94
24	31	93
25	32	91
26	33	90
27	34	89
28	36	88
29	37	87
30	38	85
31	39	84
32	41	83
33	42	81
34	43	80
35	44	79
36	45	77
37	46	76
38	47	75
39	49	73
40	50	72
41	51	70
42	52	69
43	53	68
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	66	54
55	67	52
56	67	50
57	68	49
58	69	48
59	71	47
60	72	46
61	73	44
62	74	43
63	75	42
64	76	41
65	77	40
66	78	38
67	80	37
68	81	36
69	82	35
70	83	34
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	89	26
77	91	25
78	92	24
79	93	23
80	94	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	103	12
89	105	11
90	106	10
91	107	9
92	108	8
93	109	7
94	110	5
95	112	4
96	113	3
97	114	2
98	115	1
99	116	0
